,gene_symbols
ENSG00000243649,CFB
ENSG00000243772,KIR2DL3
ENSG00000243910,TUBA4B
ENSG00000243955,GSTA1
ENSG00000244067,GSTA2
ENSG00000244094,SPRR2F
ENSG00000244437,IGKV3-15
ENSG00000244575,IGKV1-27
ENSG00000244734,HBB
ENSG00000244879,GABPB1-AS1
ENSG00000245164,LINC00861
ENSG00000245694,CRNDE
ENSG00000245888,FLJ21408
ENSG00000245904,RP11-796E2.4
ENSG00000245954,RP11-18H21.1
ENSG00000247982,LINC00926
ENSG00000248144,ADH1C
ENSG00000248323,LUCAT1
ENSG00000248712,CCDC153
ENSG00000249437,NAIP
ENSG00000249669,CARMN
ENSG00000249751,ECSCR
ENSG00000250722,SEPP1
ENSG00000251131,CTD-2035E11.3
ENSG00000251230,MIR3945HG
ENSG00000251301,RP11-81H14.2
ENSG00000251655,PRB1
ENSG00000253701,AL928768.3
ENSG00000253755,IGHGP
ENSG00000254709,IGLL5
ENSG00000255569,TRAV1-1
ENSG00000255823,MTRNR2L8
ENSG00000255974,CYP2A6
ENSG00000256039,RP11-291B21.2
ENSG00000256061,DYX1C1
ENSG00000256128,LINC00944
ENSG00000256235,SMIM3
ENSG00000256862,RP11-664D1.1
ENSG00000256948,RP11-598F7.3
ENSG00000257017,HP
ENSG00000257057,C11orf97
ENSG00000257698,RP11-620J15.3
ENSG00000257764,RP11-1143G9.4
ENSG00000258227,CLEC5A
ENSG00000258476,RP11-76E17.3
ENSG00000258752,RP11-356K23.1
ENSG00000259225,RP11-1008C21.1
ENSG00000260057,LINC01571
ENSG00000260314,MRC1
ENSG00000261371,PECAM1
ENSG00000261971,MMP25-AS1
ENSG00000262202,RP11-160E2.6
ENSG00000262406,MMP12
ENSG00000263639,MSMB
ENSG00000263961,C1orf186
ENSG00000265107,GJA5
ENSG00000265206,RP5-1171I10.5
ENSG00000266524,GDF10
ENSG00000266964,FXYD1
ENSG00000267107,PCAT19
ENSG00000267121,CTD-2020K17.1
ENSG00000267206,LCN6
ENSG00000267280,TBX2-AS1
ENSG00000267453,AC004791.2
ENSG00000267519,CTD-3252C9.4
ENSG00000267795,SMIM22
ENSG00000268027,AC006129.2
ENSG00000268104,SLC6A14
ENSG00000268388,FENDRR
ENSG00000268734,CTB-61M7.2
ENSG00000269220,LINC00528
ENSG00000269404,SPIB
ENSG00000269821,KCNQ1OT1
ENSG00000269927,RP6-91H8.3
ENSG00000269936,RP11-394O4.5
ENSG00000270022,RNU12
ENSG00000270069,MIR222HG
ENSG00000270164,LINC01480
ENSG00000270379,HEATR9
ENSG00000270550,IGHV3-30
ENSG00000271204,RP11-138A9.1
ENSG00000271503,CCL5
ENSG00000271614,LINC00936
ENSG00000271869,RP11-51J9.5
ENSG00000271933,RP11-338I21.1
ENSG00000271938,RP11-589C21.6
ENSG00000272211,RP11-347P5.1
ENSG00000272282,RP11-222K16.2
ENSG00000272398,CD24
ENSG00000273319,RP11-138A9.2
ENSG00000273338,RP11-386I14.4
ENSG00000273428,RP4-539M6.22
ENSG00000273445,RP11-1399P15.1
ENSG00000273802,HIST1H2BG
ENSG00000274736,CCL23
ENSG00000274961,RP3-492J12.2
ENSG00000275302,CCL4
ENSG00000275385,CCL18
ENSG00000275395,FCGBP
ENSG00000275718,CCL15
ENSG00000276070,CCL4L2
ENSG00000276085,CCL3L3
ENSG00000276216,CH17-373J23.1
ENSG00000276409,CCL14
ENSG00000276900,RP11-467L13.7
ENSG00000277089,AC069363.1
ENSG00000277443,MARCKS
ENSG00000277494,GPIHBP1
ENSG00000277632,CCL3
ENSG00000277639,RP11-295M3.4
ENSG00000277734,TRAC
ENSG00000278002,RP11-596C23.2
ENSG00000278196,IGLV2-8
ENSG00000279576,AP000769.1
ENSG00000280721,AC133644.2
ENSG00000281103,TRG-AS1
ENSG00000282122,CH17-262H11.1
ENSG00000282988,RP1-34B20.21
ENSG00000283063,TRBV6-2
